(10080, [0, 0, 0, 1, 24, 31])
(10080, [0, 0, 0, 1, 24, 32])
(10080, [0, 0, 0, 1, 24, 33])
(10080, [0, 0, 0, 1, 25, 8])
(10080, [0, 0, 0, 1, 25, 33])
(10080, [0, 0, 0, 1, 25, 34])
(10080, [0, 0, 0, 1, 25, 36])
(10080, [0, 0, 0, 1, 25, 40])
(10080, [0, 0, 0, 1, 26, 8])
(10080, [0, 0, 0, 1, 26, 40])
(10080, [0, 0, 0, 1, 27, 10])
(10080, [0, 0, 0, 1, 27, 36])
(10080, [0, 0, 0, 1, 27, 40])
(10080, [0, 0, 0, 1, 29, 4])
(10080, [0, 0, 0, 1, 29, 5])
(10080, [0, 0, 0, 1, 29, 7])
(10080, [0, 0, 0, 1, 29, 10])
(10080, [0, 0, 0, 1, 29, 14])
(10080, [0, 0, 0, 2, 0, 5])
(10080, [0, 0, 0, 2, 0, 7])
(10080, [0, 0, 0, 2, 0, 8])
(10080, [0, 0, 0, 2, 0, 9])
(10080, [0, 0, 0, 2, 0, 10])
(10080, [0, 0, 0, 2, 0, 11])
(10080, [0, 0, 0, 2, 0, 12])
(10080, [0, 0, 0, 2, 0, 13])
(10080, [0, 0, 0, 2, 0, 14])
(10080, [0, 0, 0, 2, 0, 15])
(10080, [0, 0, 0, 2, 0, 16])
(10080, [0, 0, 0, 2, 0, 17])
(10080, [0, 0, 0, 2, 0, 18])
(10080, [0, 0, 0, 2, 0, 19])
(10080, [0, 0, 0, 2, 0, 24])
(10080, [0, 0, 0, 2, 0, 26])
(10080, [0, 0, 0, 2, 0, 28])
(10080, [0, 0, 0, 2, 0, 30])
(10080, [0, 0, 0, 2, 2, 1])
(10080, [0, 0, 0, 2, 2, 7])
(10080, [0, 0, 0, 2, 2, 8])
(10080, [0, 0, 0, 2, 2, 9])
(10080, [0, 0, 0, 2, 2, 10])
(10080, [0, 0, 0, 2, 2, 11])
(10080, [0, 0, 0, 2, 2, 12])
(10080, [0, 0, 0, 2, 2, 13])
(10080, [0, 0, 0, 2, 2, 14])
(10080, [0, 0, 0, 2, 2, 16])
(10080, [0, 0, 0, 2, 2, 17])
(10080, [0, 0, 0, 2, 2, 18])
(10080, [0, 0, 0, 2, 2, 19])
(10080, [0, 0, 0, 2, 2, 24])
(10080, [0, 0, 0, 2, 2, 26])
(10080, [0, 0, 0, 2, 2, 28])
(10080, [0, 0, 0, 2, 2, 30])
(10080, [0, 0, 0, 2, 2, 31])
(10080, [0, 0, 0, 2, 2, 32])
(10080, [0, 0, 0, 2, 2, 33])
(10080, [0, 0, 0, 2, 2, 34])
(10080, [0, 0, 0, 2, 2, 35])
(10080, [0, 0, 0, 2, 2, 37])
(10080, [0, 0, 0, 2, 4, 0])
(10080, [0, 0, 0, 2, 4, 5])
(10080, [0, 0, 0, 2, 4, 6])
(10080, [0, 0, 0, 2, 4, 7])
(10080, [0, 0, 0, 2, 4, 8])
(10080, [0, 0, 0, 2, 4, 9])
(10080, [0, 0, 0, 2, 4, 10])
(10080, [0, 0, 0, 2, 4, 11])
(10080, [0, 0, 0, 2, 4, 12])
(10080, [0, 0, 0, 2, 4, 14])
(10080, [0, 0, 0, 2, 4, 16])
(10080, [0, 0, 0, 2, 4, 17])
(10080, [0, 0, 0, 2, 4, 18])
(10080, [0, 0, 0, 2, 4, 20])
(10080, [0, 0, 0, 2, 4, 21])
(10080, [0, 0, 0, 2, 4, 22])
(10080, [0, 0, 0, 2, 4, 27])
(10080, [0, 0, 0, 2, 4, 29])
(10080, [0, 0, 0, 2, 4, 30])
(10080, [0, 0, 0, 2, 4, 32])
(10080, [0, 0, 0, 2, 4, 34])
(10080, [0, 0, 0, 2, 4, 37])
(10080, [0, 0, 0, 2, 5, 0])
(10080, [0, 0, 0, 2, 5, 2])
(10080, [0, 0, 0, 2, 5, 10])
(10080, [0, 0, 0, 2, 5, 12])
(10080, [0, 0, 0, 2, 5, 13])
(10080, [0, 0, 0, 2, 5, 14])
(10080, [0, 0, 0, 2, 5, 15])
(10080, [0, 0, 0, 2, 5, 16])
(10080, [0, 0, 0, 2, 5, 19])
(10080, [0, 0, 0, 2, 6, 7])
(10080, [0, 0, 0, 2, 6, 8])
(10080, [0, 0, 0, 2, 6, 9])
(10080, [0, 0, 0, 2, 6, 10])
(10080, [0, 0, 0, 2, 6, 11])
(10080, [0, 0, 0, 2, 6, 12])
(10080, [0, 0, 0, 2, 6, 13])
(10080, [0, 0, 0, 2, 6, 14])
(10080, [0, 0, 0, 2, 6, 15])
(10080, [0, 0, 0, 2, 6, 16])
(10080, [0, 0, 0, 2, 6, 17])
(10080, [0, 0, 0, 2, 6, 18])
(10080, [0, 0, 0, 2, 6, 19])
(10080, [0, 0, 0, 2, 6, 20])
(10080, [0, 0, 0, 2, 6, 25])
(10080, [0, 0, 0, 2, 6, 27])
(10080, [0, 0, 0, 2, 6, 31])
(10080, [0, 0, 0, 2, 6, 33])
(10080, [0, 0, 0, 2, 6, 36])
(10080, [0, 0, 0, 2, 6, 37])
(10080, [0, 0, 0, 2, 6, 38])
(10080, [0, 0, 0, 2, 6, 42])
(10080, [0, 0, 0, 2, 7, 6])
(10080, [0, 0, 0, 2, 7, 8])
(10080, [0, 0, 0, 2, 7, 9])
(10080, [0, 0, 0, 2, 7, 10])
(10080, [0, 0, 0, 2, 7, 11])
(10080, [0, 0, 0, 2, 7, 12])
(10080, [0, 0, 0, 2, 7, 13])
(10080, [0, 0, 0, 2, 7, 14])
(10080, [0, 0, 0, 2, 7, 16])
(10080, [0, 0, 0, 2, 7, 18])
(10080, [0, 0, 0, 2, 7, 19])
(10080, [0, 0, 0, 2, 7, 20])
(10080, [0, 0, 0, 2, 7, 21])
(10080, [0, 0, 0, 2, 7, 22])
(10080, [0, 0, 0, 2, 7, 23])
(10080, [0, 0, 0, 2, 7, 24])
(10080, [0, 0, 0, 2, 7, 29])
(10080, [0, 0, 0, 2, 7, 31])
(10080, [0, 0, 0, 2, 7, 38])
(10080, [0, 0, 0, 2, 7, 43])
(10080, [0, 0, 0, 2, 8, 0])
(10080, [0, 0, 0, 2, 8, 10])
(10080, [0, 0, 0, 2, 8, 11])
(10080, [0, 0, 0, 2, 8, 12])
(10080, [0, 0, 0, 2, 8, 14])
(10080, [0, 0, 0, 2, 8, 16])
(10080, [0, 0, 0, 2, 8, 17])
(10080, [0, 0, 0, 2, 8, 18])
(10080, [0, 0, 0, 2, 8, 20])
(10080, [0, 0, 0, 2, 8, 21])
(10080, [0, 0, 0, 2, 8, 22])
(10080, [0, 0, 0, 2, 8, 27])
(10080, [0, 0, 0, 2, 8, 30])
(10080, [0, 0, 0, 2, 8, 31])
(10080, [0, 0, 0, 2, 8, 32])
(10080, [0, 0, 0, 2, 8, 34])
(10080, [0, 0, 0, 2, 8, 37])
(10080, [0, 0, 0, 2, 9, 1])
(10080, [0, 0, 0, 2, 9, 5])
(10080, [0, 0, 0, 2, 9, 6])
(10080, [0, 0, 0, 2, 9, 8])
(10080, [0, 0, 0, 2, 9, 9])
(10080, [0, 0, 0, 2, 9, 10])
(10080, [0, 0, 0, 2, 9, 13])
(10080, [0, 0, 0, 2, 9, 14])
(10080, [0, 0, 0, 2, 9, 16])
(10080, [0, 0, 0, 2, 9, 19])
(10080, [0, 0, 0, 2, 9, 20])
(10080, [0, 0, 0, 2, 9, 22])
(10080, [0, 0, 0, 2, 9, 24])
(10080, [0, 0, 0, 2, 9, 29])
(10080, [0, 0, 0, 2, 9, 31])
(10080, [0, 0, 0, 2, 9, 36])
(10080, [0, 0, 0, 2, 9, 38])
(10080, [0, 0, 0, 2, 10, 1])
(10080, [0, 0, 0, 2, 10, 4])
(10080, [0, 0, 0, 2, 10, 6])
(10080, [0, 0, 0, 2, 10, 8])
(10080, [0, 0, 0, 2, 10, 9])
(10080, [0, 0, 0, 2, 10, 15])
(10080, [0, 0, 0, 2, 10, 16])
(10080, [0, 0, 0, 2, 10, 18])
(10080, [0, 0, 0, 2, 10, 20])
(10080, [0, 0, 0, 2, 10, 25])
(10080, [0, 0, 0, 2, 10, 27])
(10080, [0, 0, 0, 2, 10, 33])
(10080, [0, 0, 0, 2, 10, 36])
(10080, [0, 0, 0, 2, 10, 38])
(10080, [0, 0, 0, 2, 11, 14])
(10080, [0, 0, 0, 2, 11, 17])
(10080, [0, 0, 0, 2, 11, 20])
(10080, [0, 0, 0, 2, 11, 21])
(10080, [0, 0, 0, 2, 11, 22])
(10080, [0, 0, 0, 2, 11, 27])
(10080, [0, 0, 0, 2, 11, 29])
(10080, [0, 0, 0, 2, 11, 31])
(10080, [0, 0, 0, 2, 11, 34])
(10080, [0, 0, 0, 2, 11, 36])
(10080, [0, 0, 0, 2, 13, 17])
(10080, [0, 0, 0, 2, 13, 20])
(10080, [0, 0, 0, 2, 13, 21])
(10080, [0, 0, 0, 2, 13, 22])
(10080, [0, 0, 0, 2, 13, 27])
(10080, [0, 0, 0, 2, 13, 29])
(10080, [0, 0, 0, 2, 13, 31])
(10080, [0, 0, 0, 2, 13, 34])
(10080, [0, 0, 0, 2, 13, 36])
(10080, [0, 0, 0, 2, 14, 15])
(10080, [0, 0, 0, 2, 14, 16])
(10080, [0, 0, 0, 2, 14, 18])
(10080, [0, 0, 0, 2, 14, 24])
(10080, [0, 0, 0, 2, 14, 28])
(10080, [0, 0, 0, 2, 14, 31])
(10080, [0, 0, 0, 2, 14, 35])
(10080, [0, 0, 0, 2, 14, 37])
(10080, [0, 0, 0, 2, 15, 0])
(10080, [0, 0, 0, 2, 15, 2])
(10080, [0, 0, 0, 2, 15, 7])
(10080, [0, 0, 0, 2, 15, 9])
(10080, [0, 0, 0, 2, 15, 11])
(10080, [0, 0, 0, 2, 15, 39])
(10080, [0, 0, 0, 2, 16, 18])
(10080, [0, 0, 0, 2, 16, 26])
(10080, [0, 0, 0, 2, 16, 28])
(10080, [0, 0, 0, 2, 16, 31])
(10080, [0, 0, 0, 2, 16, 35])
(10080, [0, 0, 0, 2, 16, 37])
(10080, [0, 0, 0, 2, 21, 8])
